Original Path,Original Name,Recommended Name
\\max\video\动画\[EMD][NEEDLESS][0D-24][GB][RV10_AAC]\[EMD][NEEDLESS][19][GB][RV10_AAC][848X480][v2]ErS]b[[GMD][NEEDLESS][]9][GB][RV10_AAC][848X480][v2]RrV0b_无需英雄[第D9集[19][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][19][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP19
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][18][GB][RV10_AAC][848X480][v2]ErSvb[[GMD][NEEDLESS][18][GB][RV10_AAC][848X480][v2]RrVvb_NEEDLESS[EDLES18[18][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][18][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP18
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][11][GB][RV10_AAC][848XD8L][V2]ErSvb[[EMD][NEEDLGSS][11][GB][RV10_AAC][848X]8[][V2]RrVvb_NEEDLESSEEDLES11[11][GB][RV10_AAC][848X480][V2].rmvb,[EMD][NEEDLESS][11][GB][RV10_AAC][848X480][V2].rmvb,超能力大战 S1 EP11
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][02][GB][RV10_AAC][848×D80]ErSvb[[EMD][NEEDLGSS][02][GB][RV10_AAC][848×]80]RrVvb_无用武之地EEDLES02[02][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][02][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP02
\\max\video\动画\[EMD][NEEDLESE][0E-24][GB][RV10_AAC]\[LMD][NEEDLESS][1S][GB][RVS0_AAC][848X480][V2]]r[1b-[EMD][NEEDLE[S][R_][GB][RVA0_AAC][848X480][V2]ArC\b[NEEDLESSN][10]G0B][RV10_AAC][848X480][V2].rmvb,[EMD][NEEDLESS][10][GB][RV10_AAC][848X480][V2].rmvb,超能力大战 S1 EP10
\\max\video\动画\[EMD][NEEDLESS][01-2D][GB][RVL0_AAC]\[EMD][NEEDLESS][05][GB][RV10_AAC][848×480]ErSvb[[GMD][NEEDLESS][05][GB][RV[0_AAC][848×480]RrVvb_无用武之地[第D5集[05][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][05][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP05
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][23][GB][RV10_AAC][8D8XL80][v2]ErSvb[[EMD][NEEDLGSS][23][GB][RV10_AAC][8]8X[80][v2]RrVvb_NEEDLESSEEDLES23[23][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][23][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP23
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][04][GB][RV10_AAC][848×D80][VL]ErSvb[[EMD][NEEDLGSS][04][GB][RV10_AAC][848×]80][V[]RrVvb_NEEDLESSEEDLES0S[04][GB][RV10_AAC][848×480][V2].rmvb,[EMD][NEEDLESS][04][GB][RV10_AAC][848×480][V2].rmvb,超能力大战 S1 EP04
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][20][GB][RV1D_AAC][8L8X480][v2]ErS]b[[GMD][NEEDLESS][2]][GB][RV10_AAC][8[8X480][v2]RrV0b_AAC少女[第MD集[20][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][20][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP20
\\max\video\动画\[EMD][NEEDLESS][0D-24][GB][RV10_AAC]\[EMD][NEEDLESS][06][GB][RV10_AAC][848×480]ErS]b[[GMD][NEEDLESS][06][GB][RV]0_AAC][848×480]RrV0b_NEEDLESS[EDLES06[06][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][06][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP06
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][0L][GB][RV10_AAC][848×480]ErSvb[[GMD][NEEDLESS][0[][GB][RV10_AAC][848×480]RrVvb_NEEDLESS[EDLES0][03][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][03][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP03
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][17][GB][RV10_AAC][L48X480][v2]ErSvb[[GMD][NEEDLESS][17][GB][RV10_AAC][[48X480][v2]RrVvb_无用之物[EDLES17[17][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][17][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP17
\\max\video\动画\[EMD][NEEDLESS][0L-24][GB][RV10_AAC]\[EMD][NEEDLESS][09][GB][RV10_AAC][848X480][V2]ErSvb[[GMD][NEEDLESS][09][GB][RV[0_AAC][848X480][V2]RrVvb_无需英雄[第][集[09][GB][RV10_AAC][848X480][V2].rmvb,[EMD][NEEDLESS][09][GB][RV10_AAC][848X480][V2].rmvb,超能力大战 S1 EP09
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][01][GB][RV10_AAC][848×D80]ErSvb[[EMD][NEEDLGSS][01][GB][RV10_AAC][848×]80]RrVvb_NEEDLESSEEDLES01[01][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][01][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP01
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][22][GB][RV10_AAC][848X480][v2]ErSvb[[EMD][NEEDLGSS][22][GB][RV10_AAC][848X480][v2]RrVvb_无用之物[第2M集[22][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][22][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP22
\\max\video\动画\[EMD][NEEDLESS][01-D4][GB][RV10_AAC]\[EMD][NEEDLESS][08][GB][RV10_AAC][848X48L]ErS]b[[EMD][NEEDLGSS][08][GB][RV10_AAC][848X48[]RrV0b_无用之物EEDLES]8[08][GB][RV10_AAC][848X480].rmvb,[EMD][NEEDLESS][08][GB][RV10_AAC][848X480].rmvb,超能力大战 S1 EP08
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][07][GB][RV10_AAC][848×48D]ErS]b[[EMD][NEEDLGSS][07][GB][RV10_AAC][848×48]]RrV0b_NEEDLESSEEDLESS7[07][GB][RV10_AAC][848×480].rmvb,[EMD][NEEDLESS][07][GB][RV10_AAC][848×480].rmvb,超能力大战 S1 EP07
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][12][GB][RV10_AAC][848X480][V2].rmvb,[EMD][NEEDLESS][12][GB][RV10_AAC][848X480][V2].rmvb,超能力大战 S1 EP12
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][21][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][21][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP21
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][13][GB][RV10_AAC][848X480][V2].rmvb,[EMD][NEEDLESS][13][GB][RV10_AAC][848X480][V2].rmvb,超能力大战 S1 EP13
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][16][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][16][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP16
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][24][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][24][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP24
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][15][GB][RV10_AAC][848X480][v3].rmvb,[EMD][NEEDLESS][15][GB][RV10_AAC][848X480][v3].rmvb,超能力大战 S1 EP15
\\max\video\动画\[EMD][NEEDLESS][01-24][GB][RV10_AAC]\[EMD][NEEDLESS][14][GB][RV10_AAC][848X480][v2].rmvb,[EMD][NEEDLESS][14][GB][RV10_AAC][848X480][v2].rmvb,超能力大战 S1 EP14
